Asset1,Asset2,Asset3,Date
0.008023502712916948,-0.04417715933275923,-0.04122182876552748,2023-04-12
-0.017036740832463614,0.043222666204802127,-0.10557829085303595,2023-04-13
0.037743794047932,0.017898037744285965,-0.007105398041890355,2023-04-14
0.044492808280449714,-0.03388058051139358,0.002944010334729605,2023-04-15
-0.052557226071254695,0.027637338063773127,-0.03220583181751641,2023-04-16
0.02567372376402209,-0.002598267784803072,0.03630644378249693,2023-04-17
-0.1299619428522077,0.016396683748453475,0.02654147317748722,2023-04-18
0.013464160145120339,0.004392477877250745,0.07436092379001137,2023-04-19
-0.009603928856180917,9.514968465933836e-05,0.0590955736633252,2023-04-20
0.08358431336819443,0.03513450337599759,-0.04607410347518427,2023-04-21
0.026165947459160916,-0.005965696563794773,0.15141646518911037,2023-04-22
0.023960976627197712,-0.08697519490380272,-0.11640962200024803,2023-04-23
0.020865077268610407,0.030179878348450314,0.00048561413554782794,2023-04-24
-0.02026036038521602,0.054407987340198985,-0.03571252984938584,2023-04-25
-0.002446890325831967,-0.010889013606781095,0.08962689197862493,2023-04-26
-0.040022450349644835,0.09340863255529543,-0.026204366469317432,2023-04-27
-0.01352964295190937,-0.039221595996785645,-0.06174972757811719,2023-04-28
0.07506993082301253,0.011875403080487184,-0.03479791688911388,2023-04-29
-0.01264833981835599,0.014426180636005367,0.07804541130079767,2023-04-30
-0.06288095297713393,0.03680515044039923,-0.06202851456620678,2023-05-01
